episode,timestep,reward
636,206688,72.71186456009899
637,206930,72.64399672019415
638,207077,72.53440781978976
639,207283,72.44015285359578
640,207532,72.3635863960388
641,207735,72.25898161812543
642,207918,72.16015390078552
643,208179,72.07862502232756
644,208349,71.97975996715047
645,208516,71.87186441362886
646,208706,71.78458974304255
647,208910,71.68794203995047
648,209163,71.61742849011065
649,209372,71.52268881771569
650,209582,71.43462196119052
651,209783,71.36451068914634
652,210001,71.29039437395151
653,210249,71.21904057684809
654,210449,71.12927975607037
655,210693,71.08999007811357
656,210837,70.98487076265621
657,211079,70.8970491117393
658,211245,70.79952836873235
659,211508,70.7311853483993
660,211697,70.65353343090193
661,211859,70.57175687800745
662,212101,70.50230724588673
663,212268,70.41386310662652
664,212455,70.32349609245799
665,212632,70.26389579139207
666,212869,70.19785891372005
667,213038,70.11320784471053
668,213259,70.03093862733213
669,213457,69.94146331516222
670,213706,69.87580371982351
671,213884,69.78901697890616
672,214099,69.71573742625638
673,214334,69.67218904226074
674,214554,69.59770115759456
675,214711,69.49074912304984
676,214892,69.40361684270027
677,215066,69.31777778163683
678,215293,69.25741805238398
679,215451,69.16569515969388
680,215660,69.10764603921729
681,215871,69.02281655817062
682,216035,68.94332260404298
683,216238,68.84305286793003
684,216440,68.77008671525232
685,216601,68.67356059687076
686,216839,68.59754940550505
687,217076,68.54010798923075
688,217286,68.47742634931855
689,217474,68.41155465494188
690,217697,68.35778277359141
691,217927,68.27310183919218
692,218084,68.18382890009521
693,218316,68.11547373385828
694,218510,68.04297861912308
695,218742,67.97046487406448
696,218935,67.89533448544357
697,219148,67.81704638344871
698,219327,67.74308905167439
699,219568,67.69586442055935
700,219814,67.64536108005545
701,220029,67.57468615736805
702,220210,67.49614459528644
703,220424,67.4183716608755
704,220582,67.33397691966962
705,220767,67.25049985419771
706,221002,67.19089229324025
707,221279,67.15585572981652
708,221515,67.09019741966216
709,221772,67.03810452046729
710,221952,66.9579013614156
711,222153,66.88521718062368
712,222336,66.80203942892045
713,222582,66.73439799454
714,222777,66.65749703808748
715,222965,66.60375557821312
716,223192,66.53063037732561
717,223385,66.46692522444503
718,223546,66.37722138858854
719,223724,66.29105558218802
720,223892,66.2106411271353
721,224089,66.14201487972579
722,224264,66.06972210750217
723,224409,65.97928421313541
724,224598,65.89864081961699
725,224790,65.81860164466637
726,224993,65.76029196594813
727,225152,65.67814770358775
728,225349,65.60037917460737
729,225526,65.52409684380937
730,225824,65.50275511312225
731,226035,65.42915330342011
732,226255,65.35951711397117
733,226605,65.33210751362813
734,226777,65.25852446984554
735,226937,65.18422125181853
736,227137,65.12252905662312
737,227335,65.05542533732341
738,227570,64.9913376353194
739,227734,64.91656797152353
740,227923,64.84562836163626
741,228141,64.78304401386573
742,228308,64.71785890892468
743,228569,64.69600815494726
744,228725,64.61910351899203
745,228929,64.56123657960637
746,229128,64.49108094580237
747,229308,64.41868280831895
748,229497,64.34510311276968
749,229752,64.29322977633673
750,229940,64.22593394083168
751,230276,64.21532743998705
752,230490,64.15780203643074
753,230704,64.10822088397586
754,230911,64.04783009244014
755,231134,63.98256476780366
756,231367,63.92278523348925
757,231562,63.854703290663906
758,231775,63.796978624156374
759,231965,63.733945022938705
760,232249,63.716038351187755
761,232484,63.667355614490965
762,232697,63.59544522911455
763,232963,63.55400300396883
764,233157,63.5065224228209
765,233531,63.51396822707659
766,233701,63.443953061971094
767,233923,63.40011244541507
768,234099,63.32940129806972
769,234298,63.266323546613634
770,234542,63.23258379336981
771,234757,63.16642607872047
772,234948,63.09580593523511
773,235121,63.024605385314274
774,235286,62.953094166960014
775,235472,62.88442367785137
776,235759,62.83922702339978
777,235988,62.787520980357684
778,236227,62.74580051522802
779,236458,62.695733850555015
780,236676,62.63205565601161
781,236881,62.56921204599855
782,237055,62.50585843328492
783,237255,62.448218558200885
784,237445,62.38783631958864
785,237774,62.41259847868643
786,238022,62.367735053815295
787,238237,62.317765665703696
788,238445,62.26104625802844
789,238699,62.22565604607455
